subject,id,rt,stimulus,condition,trial_type,trial_index,list,ppt_gender,sentence_type,test_part,verb,responses,left_part,right_part,coding,first_mention_gender,event,event_number,trial_condition,responses_new,score,rt.mean,rt.sd,rt.se
3549,./full_passives_data/3549_M1B.csv,8081.899999976158,Ruth is being hugged by Kate,passive,survey-likert-extra-labels,9,1B,man,W1 is being hugged by W3,rating_volition,hug1,0,W3 wanted to hug W1,W1 wanted to hug W3,reversed,W,hug,1,same_gender,0,-3,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,5570.100000023842,Fred is being touched by Ruth,passive,survey-likert-extra-labels,11,1B,man,M3 is being touched by W1,rating_volition,touch4,0,W1 wanted to touch M3,M3 wanted to touch W1,reversed,M,touch,4,different_gender,0,-3,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,6904.100000023842,Fred is being touched by Ruth,passive,survey-likert-extra-labels,12,1B,man,M3 is being touched by W1,rating_causation,touch4,1,W1 asked to touch M3,M3 asked to touch W1,reversed,M,touch,4,different_gender,1,-2,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,5049.100000023842,Luke is being opposed by Fred,passive,survey-likert-extra-labels,17,1B,man,M1 is being opposed by M3,rating_volition,oppose2,0,M3 wanted to oppose M1,M1 wanted to oppose M3,reversed,M,oppose,2,same_gender,0,-3,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,7790.700000047684,Luke is being opposed by Fred,passive,survey-likert-extra-labels,18,1B,man,M1 is being opposed by M3,rating_causation,oppose2,2,M3 started opposing M1,M1 started opposing M3,reversed,M,oppose,2,same_gender,2,-1,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,7488.399999976158,Ruth is being copied by Fred,passive,survey-likert-extra-labels,20,1B,man,W1 is being copied by M3,rating_causation,copy4,4,W1 started copying M3 first,M3 started copying W1 first,standard,W,copy,4,different_gender,2,-1,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,6386.200000047684,Ruth is being copied by Fred,passive,survey-likert-extra-labels,21,1B,man,W1 is being copied by M3,rating_volition,copy4,5,W1 wanted to copy M3,M3 wanted to copy W1,standard,W,copy,4,different_gender,1,-2,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,6107.5,Fred is being challenged by Ruth,passive,survey-likert-extra-labels,23,1B,man,M3 is being challenged by W1,rating_volition,challenge3,5,W1 wanted to challenge M3,M3 wanted to challenge W1,reversed,M,challenge,3,different_gender,5,2,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,9695,Fred is being challenged by Ruth,passive,survey-likert-extra-labels,24,1B,man,M3 is being challenged by W1,rating_causation,challenge3,2,W1 started challenging M3 first,M3 started challenging W1 first,reversed,M,challenge,3,different_gender,2,-1,4865.953749999404,2417.9152465456473,270.33114275546154
3549,./full_passives_data/3549_M1B.csv,6694.899999976158,Luke is being greeted by Kate,passive,survey-likert-extra-labels,26,1B,man,M1 is being greeted by W3,rating_causation,greet4,6,M1 started greeting W3 first,W3 started greeting M1 first,standard,M,greet,4,different_gender,-0,-3,4865.953749999404,2417.9152465456473,270.33114275546154
