rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
4241,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,4244,0.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30743.000000000007,NA,NA,NA,NA,external-html,1,36026,0.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
2499,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,38526,0.0-2.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3564,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,43092,0.0-3.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,46097,0.0-4.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
14591,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,60691,0.0-5.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,63626,0.0-6.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Jane and Beth are touching each other</em>,NA,NA,NA,html-keyboard-response,7,66630,0.0-7.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 and NAME2 are touching each other,touch_conjoined,sentence,NA,NA,NA,NA,NA
5192,NA,NA,NA,NA,survey-likert-extra-labels,8,71827,0.0-7.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Jane and Beth are touching each other</em>,touch_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Beth than Jane,The speaker identifies more with<br>Jane than Beth,right_to_left
null,Somebody says<br><em>Beth is looking at Jane</em>,NA,NA,NA,html-keyboard-response,9,73829,0.0-8.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is looking at NAME2,look_active,sentence,NA,NA,NA,NA,NA
5342,NA,NA,NA,NA,survey-likert-extra-labels,10,79176,0.0-8.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Beth is looking at Jane</em>,look_active,rating_volition,"{""Q0"":1}",[0],The speaker identifies more with <br>Beth than Jane,The speaker identifies more with<br>Jane than Beth,left_to_right
null,Somebody says<br><em>Jane is carrying Beth,NA,NA,NA,html-keyboard-response,11,81178,0.0-9.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,W2 is carrying W4,carry,sentence,NA,NA,NA,NA,NA
7226,NA,NA,NA,NA,survey-likert-extra-labels,12,88407,0.0-9.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Jane is carrying Beth,carry,rating_volition,"{""Q0"":1}",[0],Jane is transporting Beth,Beth is transporting Jane,NA
null,Somebody says<br><em>Beth is shouting at Dave</em>,NA,NA,NA,html-keyboard-response,13,90409,0.0-10.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is shouting at NAME2,shout_active,sentence,NA,NA,NA,NA,NA
9063,NA,NA,NA,NA,survey-likert-extra-labels,14,99474,0.0-10.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Beth is shouting at Dave</em>,shout_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Dave than Beth,The speaker identifies more with<br>Beth than Dave,right_to_left
null,Somebody says<br><em>Mike is posing for Dave,NA,NA,NA,html-keyboard-response,15,101475,0.0-11.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,M2 is posing for M4,pose,sentence,NA,NA,NA,NA,NA
4866,NA,NA,NA,NA,survey-likert-extra-labels,16,106343,0.0-11.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Mike is posing for Dave,pose,rating_volition,"{""Q0"":0}",[0],Mike is modelling for Dave,Dave is modelling for Mike,NA
null,Somebody says<br><em>Mike and Jane are playing with each other</em>,NA,NA,NA,html-keyboard-response,17,108345,0.0-12.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 and NAME2 are playing with each other,play_conjoined,sentence,NA,NA,NA,NA,NA
4311,NA,NA,NA,NA,survey-likert-extra-labels,18,112659,0.0-12.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Mike and Jane are playing with each other</em>,play_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Jane than Mike,The speaker identifies more with<br>Mike than Jane,right_to_left
null,Somebody says<br><em>Beth is hugging Jane</em>,NA,NA,NA,html-keyboard-response,19,114661,0.0-13.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is hugging NAME2,hug_active,sentence,NA,NA,NA,NA,NA
2963,NA,NA,NA,NA,survey-likert-extra-labels,20,117626,0.0-13.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Beth is hugging Jane</em>,hug_active,rating_volition,"{""Q0"":1}",[0],The speaker identifies more with <br>Beth than Jane,The speaker identifies more with<br>Jane than Beth,left_to_right
null,Somebody says<br><em>Jane is dancing with Fred</em>,NA,NA,NA,html-keyboard-response,21,119628,0.0-14.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is dancing with NAME2,dance_active,sentence,NA,NA,NA,NA,NA
6346.999999999985,NA,NA,NA,NA,survey-likert-extra-labels,22,125978,0.0-14.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Jane is dancing with Fred</em>,dance_active,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Fred than Jane,The speaker identifies more with<br>Jane than Fred,right_to_left
null,Somebody says<br><em>Jane is being shouted at by Luke</em>,NA,NA,NA,html-keyboard-response,23,127980,0.0-15.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is being shouted at by NAME2,shout_passive,sentence,NA,NA,NA,NA,NA
3460.9999999999854,NA,NA,NA,NA,survey-likert-extra-labels,24,131444,0.0-15.0-1.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,NA,Somebody says<br><em>Jane is being shouted at by Luke</em>,shout_passive,rating_volition,"{""Q0"":0}",[0],The speaker identifies more with <br>Jane than Luke,The speaker identifies more with<br>Luke than Jane,left_to_right
null,Somebody says<br><em>Mike is being kissed by Jane</em>,NA,NA,NA,html-keyboard-response,25,133445,0.0-16.0-0.0,anomymised,6564584152624795c40b73cb,65645eb23a2ef3521cdfec04,80565,1A,woman,NA,null,NAME1 is being kissed by NAME2,kiss_passive,sentence,NA,NA,NA,NA,NA
