rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
4445,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,4461,0.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5764,NA,NA,NA,NA,external-html,1,11335,0.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
24509,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,35845,0.0-2.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3531,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,40384,0.0-3.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,43410,0.0-4.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
7643,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,51054,0.0-5.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,54100,0.0-6.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Dave and Kate are playing with each other</em>,NA,NA,NA,html-keyboard-response,7,57112,0.0-7.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 and NAME2 are playing with each other,play_conjoined,sentence,NA,NA,NA,NA,NA
8096,NA,NA,NA,NA,survey-likert-extra-labels,8,65211,0.0-7.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Dave and Kate are playing with each other</em>,play_conjoined,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Kate than Dave,The speaker identifies more with<br>Dave than Kate,right_to_left
null,Somebody says<br><em>Luke is shouting at Beth</em>,NA,NA,NA,html-keyboard-response,9,67212,0.0-8.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is shouting at NAME2,shout_active,sentence,NA,NA,NA,NA,NA
4808,NA,NA,NA,NA,survey-likert-extra-labels,10,72021,0.0-8.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Luke is shouting at Beth</em>,shout_active,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Beth than Luke,The speaker identifies more with<br>Luke than Beth,right_to_left
null,Somebody says<br><em>Ruth and Kate are flirting with each other</em>,NA,NA,NA,html-keyboard-response,11,74022,0.0-9.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 and NAME2 are flirting with each other,flirt_conjoined,sentence,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,survey-likert-extra-labels,12,75896,0.0-9.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Ruth and Kate are flirting with each other</em>,flirt_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Ruth than Kate,The speaker identifies more with<br>Kate than Ruth,left_to_right
null,Somebody says<br><em>Jane is touching Dave</em>,NA,NA,NA,html-keyboard-response,13,77902,0.0-10.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is touching NAME2,touch_active,sentence,NA,NA,NA,NA,NA
2514,NA,NA,NA,NA,survey-likert-extra-labels,14,80417,0.0-10.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Jane is touching Dave</em>,touch_active,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Jane than Dave,The speaker identifies more with<br>Dave than Jane,left_to_right
null,Somebody says<br><em>Beth is hugging Mike</em>,NA,NA,NA,html-keyboard-response,15,82421,0.0-11.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is hugging NAME2,hug_active,sentence,NA,NA,NA,NA,NA
2986,NA,NA,NA,NA,survey-likert-extra-labels,16,85408,0.0-11.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Beth is hugging Mike</em>,hug_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Mike than Beth,The speaker identifies more with<br>Beth than Mike,right_to_left
null,Somebody says<br><em>Jane is kissing Dave</em>,NA,NA,NA,html-keyboard-response,17,87422,0.0-12.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is kissing NAME2,kiss_active,sentence,NA,NA,NA,NA,NA
4154,NA,NA,NA,NA,survey-likert-extra-labels,18,91577,0.0-12.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Jane is kissing Dave</em>,kiss_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Dave than Jane,The speaker identifies more with<br>Jane than Dave,right_to_left
null,Somebody says<br><em>Ruth is seducing Beth</em>,NA,NA,NA,html-keyboard-response,19,93579,0.0-13.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is seducing NAME2,seduce_active,sentence,NA,NA,NA,NA,NA
3496,NA,NA,NA,NA,survey-likert-extra-labels,20,97079,0.0-13.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Ruth is seducing Beth</em>,seduce_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Beth than Ruth,The speaker identifies more with<br>Ruth than Beth,right_to_left
null,Somebody says<br><em>Kate and Dave are kissing each other</em>,NA,NA,NA,html-keyboard-response,21,99091,0.0-14.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 and NAME2 are kissing each other,kiss_conjoined,sentence,NA,NA,NA,NA,NA
1642,NA,NA,NA,NA,survey-likert-extra-labels,22,100735,0.0-14.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Kate and Dave are kissing each other</em>,kiss_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Dave than Kate,The speaker identifies more with<br>Kate than Dave,right_to_left
null,Somebody says<br><em>Beth is being greeted by Jane</em>,NA,NA,NA,html-keyboard-response,23,102751,0.0-15.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is being greeted by NAME2,greet_passive,sentence,NA,NA,NA,NA,NA
2960,NA,NA,NA,NA,survey-likert-extra-labels,24,105713,0.0-15.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Beth is being greeted by Jane</em>,greet_passive,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Beth than Jane,The speaker identifies more with<br>Jane than Beth,left_to_right
null,Somebody says<br><em>Luke is challenging Kate</em>,NA,NA,NA,html-keyboard-response,25,107722,0.0-16.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is challenging NAME2,challenge_active,sentence,NA,NA,NA,NA,NA
3126,NA,NA,NA,NA,survey-likert-extra-labels,26,110849,0.0-16.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Luke is challenging Kate</em>,challenge_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Kate than Luke,The speaker identifies more with<br>Luke than Kate,right_to_left
null,Somebody says<br><em>Ruth is chasing Kate,NA,NA,NA,html-keyboard-response,27,112863,0.0-17.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,W1 is chasing W3,chase,sentence,NA,NA,NA,NA,NA
12140,NA,NA,NA,NA,survey-likert-extra-labels,28,125004,0.0-17.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Ruth is chasing Kate,chase,rating_volition,"{""Q0"":1}",[0],Ruth is behind Kate,Kate is behind Ruth,NA
null,Somebody says<br><em>Jane is being opposed by Mike</em>,NA,NA,NA,html-keyboard-response,29,127023,0.0-18.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is being opposed by NAME2,oppose_passive,sentence,NA,NA,NA,NA,NA
9993,NA,NA,NA,NA,survey-likert-extra-labels,30,137016,0.0-18.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Jane is being opposed by Mike</em>,oppose_passive,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Mike than Jane,The speaker identifies more with<br>Jane than Mike,right_to_left
null,Somebody says<br><em>Jane is carrying Beth,NA,NA,NA,html-keyboard-response,31,139022,0.0-19.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,W2 is carrying W4,carry,sentence,NA,NA,NA,NA,NA
4577,NA,NA,NA,NA,survey-likert-extra-labels,32,143601,0.0-19.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Jane is carrying Beth,carry,rating_volition,"{""Q0"":0}",[0],Jane is transporting Beth,Beth is transporting Jane,NA
null,Somebody says<br><em>Luke is being copied by Kate</em>,NA,NA,NA,html-keyboard-response,33,145621,0.0-20.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is being copied by NAME2,copy_passive,sentence,NA,NA,NA,NA,NA
6287,NA,NA,NA,NA,survey-likert-extra-labels,34,151910,0.0-20.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Luke is being copied by Kate</em>,copy_passive,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Kate than Luke,The speaker identifies more with<br>Luke than Kate,right_to_left
null,Somebody says<br><em>Fred is hiring Ruth,NA,NA,NA,html-keyboard-response,35,153921,0.0-21.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA,NA
4535,NA,NA,NA,NA,survey-likert-extra-labels,36,158456,0.0-21.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Fred is hiring Ruth,hire,rating_volition,"{""Q0"":0}",[0],Fred is employing Ruth,Ruth is employing Fred,NA
null,Somebody says<br><em>Mike and Beth are shouting at each other</em>,NA,NA,NA,html-keyboard-response,37,160462,0.0-22.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 and NAME2 are shouting at each other,shout_conjoined,sentence,NA,NA,NA,NA,NA
2584,NA,NA,NA,NA,survey-likert-extra-labels,38,163047,0.0-22.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Mike and Beth are shouting at each other</em>,shout_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Mike than Beth,The speaker identifies more with<br>Beth than Mike,left_to_right
null,Somebody says<br><em>Kate is feeding Luke,NA,NA,NA,html-keyboard-response,39,165051,0.0-23.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,W3 is feeding M1,feed,sentence,NA,NA,NA,NA,NA
7286,NA,NA,NA,NA,survey-likert-extra-labels,40,172337,0.0-23.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Kate is feeding Luke,feed,rating_volition,"{""Q0"":0}",[0],Kate cooked for Luke,Luke cooked for Kate,NA
null,Somebody says<br><em>Beth and Ruth are arguing with each other</em>,NA,NA,NA,html-keyboard-response,41,174352,0.0-24.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 and NAME2 are arguing with each other,argue_conjoined,sentence,NA,NA,NA,NA,NA
5215,NA,NA,NA,NA,survey-likert-extra-labels,42,179571,0.0-24.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Beth and Ruth are arguing with each other</em>,argue_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Ruth than Beth,The speaker identifies more with<br>Beth than Ruth,right_to_left
null,Somebody says<br><em>Beth is meeting Mike</em>,NA,NA,NA,html-keyboard-response,43,181582,0.0-25.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is meeting NAME2,meet_active,sentence,NA,NA,NA,NA,NA
4413,NA,NA,NA,NA,survey-likert-extra-labels,44,185995,0.0-25.0-1.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,NA,Somebody says<br><em>Beth is meeting Mike</em>,meet_active,rating_volition,"{""Q0"":1}",[0],The speaker identifies more with <br>Beth than Mike,The speaker identifies more with<br>Mike than Beth,left_to_right
null,Somebody says<br><em>Jane is being kissed by Ruth</em>,NA,NA,NA,html-keyboard-response,45,188001,0.0-26.0-0.0,anomymised,6564584152624795c40b73cb,6564bdaf73037bef4883dc86,33851,1A,woman,NA,null,NAME1 is being kissed by NAME2,kiss_passive,sentence,NA,NA,NA,NA,NA
